4c02cdd, maenujem, Thu Apr 24 16:07:02 2025, "add structured and formatted example content to show basic capabilities"
543f18b, maenujem, Mon Apr 21 21:56:15 2025, "add more gems"
c44aaa4, maenujem, Mon Apr 21 21:52:12 2025, "add initial content"
7b3824f, maenujem, Mon Apr 21 21:07:29 2025, "add initial files"
